startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2017-11-01T00:00:00Z","2017-11-01T00:30:00Z",101.70514,101.68516,101.72512,0.00011,30.00000,0.01762,0.00192,0,102.03137,0.02399,0
"2017-11-01T00:30:00Z","2017-11-01T01:00:00Z",101.73145,101.72512,101.73511,0.00002,30.00000,0.01729,0.00089,0,102.05766,0.02375,0
"2017-11-01T01:00:00Z","2017-11-01T01:30:00Z",101.72612,101.71513,101.73511,0.00004,30.00000,0.01737,0.00121,0,102.05237,0.02381,0
"2017-11-01T01:30:00Z","2017-11-01T02:00:00Z",101.74776,101.72512,101.76508,0.00019,30.00000,0.01790,0.00249,0,102.07561,0.02426,0
"2017-11-01T02:00:00Z","2017-11-01T02:30:00Z",101.77907,101.76508,101.79505,0.00009,30.00000,0.01753,0.00170,0,102.10732,0.02400,0
"2017-11-01T02:30:00Z","2017-11-01T03:00:00Z",101.79572,101.78506,101.80504,0.00004,30.00000,0.01736,0.00117,0,102.12485,0.02390,0
"2017-11-01T03:00:00Z","2017-11-01T03:30:00Z",101.78706,101.78506,101.79505,0.00002,30.00000,0.01726,0.00074,0,102.11685,0.02385,0
"2017-11-01T03:30:00Z","2017-11-01T04:00:00Z",101.80138,101.78506,101.80504,0.00004,30.00000,0.01735,0.00112,0,102.13163,0.02393,0
"2017-11-01T04:00:00Z","2017-11-01T04:30:00Z",101.78140,101.77507,101.78506,0.00002,30.00000,0.01729,0.00089,0,102.11163,0.02389,0
"2017-11-01T04:30:00Z","2017-11-01T05:00:00Z",101.77474,101.75509,101.78506,0.00009,30.00000,0.01753,0.00169,0,102.10529,0.02407,0
"2017-11-01T05:00:00Z","2017-11-01T05:30:00Z",101.74710,101.73511,101.75509,0.00006,30.00000,0.01745,0.00147,0,102.07794,0.02402,0
"2017-11-01T05:30:00Z","2017-11-01T06:00:00Z",101.73744,101.72512,101.74510,0.00007,30.00000,0.01748,0.00157,0,102.06833,0.02405,0
"2017-11-01T06:00:00Z","2017-11-01T06:30:00Z",101.72179,101.71513,101.72512,0.00002,30.00000,0.01729,0.00087,0,102.05277,0.02391,0
"2017-11-01T06:30:00Z","2017-11-01T07:00:00Z",101.70281,101.69515,101.71513,0.00004,30.00000,0.01735,0.00114,0,102.03350,0.02395,0
"2017-11-01T07:00:00Z","2017-11-01T07:30:00Z",101.67850,101.66518,101.69515,0.00013,30.00000,0.01771,0.00211,0,102.00912,0.02421,0
"2017-11-01T07:30:00Z","2017-11-01T08:00:00Z",101.65185,101.63521,101.66518,0.00004,30.00000,0.01737,0.00121,0,101.98253,0.02396,0
"2017-11-01T08:00:00Z","2017-11-01T08:30:00Z",101.64519,101.64519,101.64519,0.00000,30.00000,0.01720,0.00000,0,101.97590,0.02384,0
"2017-11-01T08:30:00Z","2017-11-01T09:00:00Z",101.65085,101.64519,101.66518,0.00005,30.00000,0.01738,0.00124,0,101.98144,0.02396,0
